alpha,attack_type,system,variant,accuracy,seed
0.1,label_flipping,GRADF,shared (own),0.5718000000000001,50
0.1,label_flipping,FedStrategist,b,0.737,50
0.1,label_flipping,AdaAggRL,own (gradient-inversion),0.6891,50
0.05,fltrust_aligned,Random,,0.7275999999999999,50
0.05,fltrust_aligned,Oracle (decoupled),,0.7704000000000001,50
0.05,fltrust_aligned,GRADF,shared (own),0.7718,50
0.05,fltrust_aligned,FedStrategist,b,0.7398999999999999,50
0.05,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.6321999999999999,50
0.05,trim_attack,Random,,0.6044,50
0.05,trim_attack,Oracle (decoupled),,0.5812999999999999,50
0.05,trim_attack,GRADF,shared (own),0.5650000000000001,50
0.05,trim_attack,FedStrategist,b,0.5489,50
0.05,trim_attack,AdaAggRL,own (gradient-inversion),0.7713000000000001,50
0.05,krum_collusion,Random,,0.5672999999999999,50
0.05,krum_collusion,Oracle (decoupled),,0.7013,50
0.05,krum_collusion,GRADF,shared (own),0.6871,50
0.05,krum_collusion,FedStrategist,b,0.6717000000000002,50
0.05,krum_collusion,AdaAggRL,own (gradient-inversion),0.8049,50
0.05,low_mag_backdoor,Random,,0.8352,50
0.05,low_mag_backdoor,Oracle (decoupled),,0.8517999999999999,50
0.05,low_mag_backdoor,GRADF,shared (own),0.2633,50
0.05,low_mag_backdoor,FedStrategist,b,0.7194999999999999,50
0.05,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.7239,50
0.05,sign_flipping,Random,,0.5624,50
0.05,sign_flipping,Oracle (decoupled),,0.6272,50
0.05,sign_flipping,GRADF,shared (own),0.2593,50
0.05,sign_flipping,FedStrategist,b,0.5546,50
0.05,sign_flipping,AdaAggRL,own (gradient-inversion),0.6395,50
0.05,gaussian_noise,Random,,0.7331,50
0.05,gaussian_noise,Oracle (decoupled),,0.7688,50
0.05,gaussian_noise,GRADF,shared (own),0.7624,50
0.05,gaussian_noise,FedStrategist,b,0.5456000000000001,50
0.05,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8032,50
0.05,label_flipping,Random,,0.6474,50
0.05,label_flipping,Oracle (decoupled),,0.6586,50
0.05,label_flipping,GRADF,shared (own),0.6729,50
0.05,label_flipping,FedStrategist,b,0.7116,50
0.05,label_flipping,AdaAggRL,own (gradient-inversion),0.4295,50
0.5,fltrust_aligned,Random,,0.8837999999999999,51
0.5,fltrust_aligned,Oracle (decoupled),,0.8724000000000001,51
0.5,fltrust_aligned,GRADF,shared (own),0.8920999999999999,51
0.5,fltrust_aligned,FedStrategist,b,0.8888999999999999,51
0.5,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.8913,51
0.5,trim_attack,Random,,0.8576,51
0.5,trim_attack,Oracle (decoupled),,0.8442000000000001,51
0.5,trim_attack,GRADF,shared (own),0.876,51
0.5,trim_attack,FedStrategist,b,0.8640000000000001,51
0.5,trim_attack,AdaAggRL,own (gradient-inversion),0.8964000000000001,51
0.5,krum_collusion,Random,,0.8684000000000001,51
0.5,krum_collusion,Oracle (decoupled),,0.8680999999999999,51
0.5,krum_collusion,GRADF,shared (own),0.8796000000000002,51
0.5,krum_collusion,FedStrategist,b,0.8853,51
0.5,krum_collusion,AdaAggRL,own (gradient-inversion),0.8959999999999999,51
0.5,low_mag_backdoor,Random,,0.8933,51
0.5,low_mag_backdoor,Oracle (decoupled),,0.9042,51
0.5,low_mag_backdoor,GRADF,shared (own),0.9015,51
0.5,low_mag_backdoor,FedStrategist,b,0.8406,51
0.5,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.8902999999999999,51
0.5,sign_flipping,Random,,0.8803000000000001,51
0.5,sign_flipping,Oracle (decoupled),,0.8885,51
0.5,sign_flipping,GRADF,shared (own),0.8642,51
0.5,sign_flipping,FedStrategist,b,0.8305,51
0.5,sign_flipping,AdaAggRL,own (gradient-inversion),0.8889000000000001,51
0.5,gaussian_noise,Random,,0.8942,51
0.5,gaussian_noise,Oracle (decoupled),,0.8947,51
0.5,gaussian_noise,GRADF,shared (own),0.8838000000000001,51
0.5,gaussian_noise,FedStrategist,b,0.7913000000000001,51
0.5,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8961,51
0.5,label_flipping,Random,,0.8667,51
0.5,label_flipping,Oracle (decoupled),,0.8949999999999999,51
0.5,label_flipping,GRADF,shared (own),0.8774,51
0.5,label_flipping,FedStrategist,b,0.8792,51
0.5,label_flipping,AdaAggRL,own (gradient-inversion),0.6461,51
0.1,fltrust_aligned,Random,,0.7975000000000001,51
0.1,fltrust_aligned,Oracle (decoupled),,0.7919999999999999,51
0.1,fltrust_aligned,GRADF,shared (own),0.7804000000000001,51
0.1,fltrust_aligned,FedStrategist,b,0.7493,51
0.1,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.7158999999999999,51
0.1,trim_attack,Random,,0.7601000000000001,51
0.1,trim_attack,Oracle (decoupled),,0.5224,51
0.1,trim_attack,GRADF,shared (own),0.5144,51
0.1,trim_attack,FedStrategist,b,0.4599,51
0.1,trim_attack,AdaAggRL,own (gradient-inversion),0.793,51
0.1,krum_collusion,Random,,0.7030000000000001,51
0.1,krum_collusion,Oracle (decoupled),,0.7403,51
0.1,krum_collusion,GRADF,shared (own),0.7421999999999999,51
0.1,krum_collusion,FedStrategist,b,0.6321999999999999,51
0.1,krum_collusion,AdaAggRL,own (gradient-inversion),0.837,51
0.1,low_mag_backdoor,Random,,0.8314,51
0.1,low_mag_backdoor,Oracle (decoupled),,0.8568,51
0.1,low_mag_backdoor,GRADF,shared (own),0.85,51
0.1,low_mag_backdoor,FedStrategist,b,0.853,51
0.1,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.6535,51
0.1,sign_flipping,Random,,0.7114,51
0.1,sign_flipping,Oracle (decoupled),,0.7481,51
0.1,sign_flipping,GRADF,shared (own),0.7594000000000001,51
0.1,sign_flipping,FedStrategist,b,0.6156999999999999,51
0.1,sign_flipping,AdaAggRL,own (gradient-inversion),0.8021999999999998,51
0.1,gaussian_noise,Random,,0.7806,51
0.1,gaussian_noise,Oracle (decoupled),,0.7857000000000001,51
0.1,gaussian_noise,GRADF,shared (own),0.7881,51
0.1,gaussian_noise,FedStrategist,b,0.6212,51
0.1,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8408,51
0.1,label_flipping,Random,,0.716,51
0.1,label_flipping,Oracle (decoupled),,0.7580000000000001,51
0.1,label_flipping,GRADF,shared (own),0.6049,51
0.1,label_flipping,FedStrategist,b,0.7447,51
0.1,label_flipping,AdaAggRL,own (gradient-inversion),0.6962,51
0.05,fltrust_aligned,Random,,0.7480999999999999,51
0.05,fltrust_aligned,Oracle (decoupled),,0.7663,51
0.05,fltrust_aligned,GRADF,shared (own),0.7624,51
0.05,fltrust_aligned,FedStrategist,b,0.7482,51
0.05,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.5102,51
0.05,trim_attack,Random,,0.6961999999999999,51
0.05,trim_attack,Oracle (decoupled),,0.5725999999999999,51
0.05,trim_attack,GRADF,shared (own),0.5721,51
0.05,trim_attack,FedStrategist,b,0.5452,51
0.05,trim_attack,AdaAggRL,own (gradient-inversion),0.7773,51
0.05,krum_collusion,Random,,0.5639000000000001,51
0.05,krum_collusion,Oracle (decoupled),,0.7083999999999999,51
0.05,krum_collusion,GRADF,shared (own),0.5824999999999999,51
0.05,krum_collusion,FedStrategist,b,0.6822000000000001,51
0.05,krum_collusion,AdaAggRL,own (gradient-inversion),0.8067,51
0.05,low_mag_backdoor,Random,,0.8614,51
0.05,low_mag_backdoor,Oracle (decoupled),,0.8526,51
0.05,low_mag_backdoor,GRADF,shared (own),0.8525,51
0.05,low_mag_backdoor,FedStrategist,b,0.7213,51
0.05,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.8320000000000001,51
0.05,sign_flipping,Random,,0.6247,51
0.05,sign_flipping,Oracle (decoupled),,0.6368,51
0.05,sign_flipping,GRADF,shared (own),0.7491,51
0.05,sign_flipping,FedStrategist,b,0.5496,51
0.05,sign_flipping,AdaAggRL,own (gradient-inversion),0.6965,51
0.05,gaussian_noise,Random,,0.6784,51
0.05,gaussian_noise,Oracle (decoupled),,0.7565999999999999,51
0.05,gaussian_noise,GRADF,shared (own),0.7693000000000001,51
0.05,gaussian_noise,FedStrategist,b,0.566,51
0.05,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8051,51
0.05,label_flipping,Random,,0.6373,51
0.05,label_flipping,Oracle (decoupled),,0.6565000000000001,51
0.05,label_flipping,GRADF,shared (own),0.4971,51
0.05,label_flipping,FedStrategist,b,0.7018000000000001,51
0.05,label_flipping,AdaAggRL,own (gradient-inversion),0.5108,51
